Date (GMT+1),Wind offshore,Wind onshore,Solar
,Power (MW),Power (MW),Power (MW)
2020-01-01T00:00+01:00,501.3,5909.1,0
2020-01-01T00:15+01:00,501.7,5905.6,0
2020-01-01T00:30+01:00,540.7,6108.3,0
2020-01-01T00:45+01:00,655.5,6240.5,0
2020-01-01T01:00+01:00,890.6,6094.6,0
2020-01-01T01:15+01:00,1157.4,5738.4,0
2020-01-01T01:30+01:00,1249.1,5777.5,0
2020-01-01T01:45+01:00,1383,5809.8,0
2020-01-01T02:00+01:00,1534.6,5789.7,0
2020-01-01T02:15+01:00,1659.9,5708.9,0
2020-01-01T02:30+01:00,1688.6,5756.4,0
2020-01-01T02:45+01:00,1784.4,5727.1,0
2020-01-01T03:00+01:00,1902.9,5503.3,0
2020-01-01T03:15+01:00,2076.8,5381.9,0
2020-01-01T03:30+01:00,2118.2,5432.9,0
2020-01-01T03:45+01:00,2157,5538.6,0
2020-01-01T04:00+01:00,2252.9,5437,0
2020-01-01T04:15+01:00,2332.4,5390.3,0
2020-01-01T04:30+01:00,2315,5444.2,0.1
2020-01-01T04:45+01:00,2275.1,5484.4,0.2
2020-01-01T05:00+01:00,2255.2,5491.6,0.2
2020-01-01T05:15+01:00,2204.2,5491.8,0.2
2020-01-01T05:30+01:00,2133.4,5603.8,0.2
2020-01-01T05:45+01:00,2050.2,5606.1,0.2
2020-01-01T06:00+01:00,1934,5689.3,0.2
2020-01-01T06:15+01:00,1885.4,5601.6,0.2
2020-01-01T06:30+01:00,1949.7,5501.7,0.2
2020-01-01T06:45+01:00,2008.3,5395.9,0.2
2020-01-01T07:00+01:00,2090.2,5329.3,0.3
2020-01-01T07:15+01:00,2131.7,5324.2,0.3
2020-01-01T07:30+01:00,2168.2,5198.5,0.5
2020-01-01T07:45+01:00,2233.5,5079.9,0.7
2020-01-01T08:00+01:00,2244.9,5040.7,9.4
2020-01-01T08:15+01:00,2266.9,5049.8,109.6
2020-01-01T08:30+01:00,2310.4,5052,434
2020-01-01T08:45+01:00,2317.7,4984.3,996.4
2020-01-01T09:00+01:00,2325.2,5047.5,1779.5
2020-01-01T09:15+01:00,2303.6,5027.9,2716.2
2020-01-01T09:30+01:00,2332,4991.5,3648.8
2020-01-01T09:45+01:00,2410.7,5021.5,4657
2020-01-01T10:00+01:00,2517.3,4909.1,5623.6
2020-01-01T10:15+01:00,2530.1,4830.5,6531
2020-01-01T10:30+01:00,2575.4,4685.5,7427.1
2020-01-01T10:45+01:00,2571.7,4614.2,8366.6
2020-01-01T11:00+01:00,2603.7,4628.7,9154
2020-01-01T11:15+01:00,2664.8,4549.8,9850.4
2020-01-01T11:30+01:00,2787.9,4541.2,10455.8
2020-01-01T11:45+01:00,2959.2,4426.5,10906.6
2020-01-01T12:00+01:00,3130.3,4135.6,11333.9
2020-01-01T12:15+01:00,3315.7,4178.6,11489.4
2020-01-01T12:30+01:00,3428.5,4115.6,11668.2
2020-01-01T12:45+01:00,3589.4,4175.8,11509.3
2020-01-01T13:00+01:00,3636.4,4166.2,11297.5
2020-01-01T13:15+01:00,3648.9,4185.7,10865.9
2020-01-01T13:30+01:00,3662.1,4270.2,10401.1
2020-01-01T13:45+01:00,3539.9,4202.4,9695.8
2020-01-01T14:00+01:00,3430.4,4112.8,8877.4
2020-01-01T14:15+01:00,3321.8,4076.8,7883.6
2020-01-01T14:30+01:00,3283.3,4058.6,6779.3
2020-01-01T14:45+01:00,3281.6,4015.5,5567.6
2020-01-01T15:00+01:00,3199,4054.4,4371.2
2020-01-01T15:15+01:00,2995.9,4141.9,3105.6
2020-01-01T15:30+01:00,2860,4292.2,1986.6
2020-01-01T15:45+01:00,2823.3,4432.8,1051.5
2020-01-01T16:00+01:00,2792.6,4804.7,419.3
2020-01-01T16:15+01:00,2888.9,5266.3,94
2020-01-01T16:30+01:00,3073,5584.2,7.8
2020-01-01T16:45+01:00,3194.5,5943.9,2.7
2020-01-01T17:00+01:00,3368,6336.4,0.8
2020-01-01T17:15+01:00,3617.4,6538.9,0.7
2020-01-01T17:30+01:00,3957.4,6777.9,0.6
2020-01-01T17:45+01:00,4091.8,7032.7,0.6
2020-01-01T18:00+01:00,4165.2,7363.2,0.6
2020-01-01T18:15+01:00,4386.8,7708.8,0.5
2020-01-01T18:30+01:00,4560.3,8059.8,0.5
2020-01-01T18:45+01:00,4734.1,8250.3,0.4
2020-01-01T19:00+01:00,4768,8516.7,0.4
2020-01-01T19:15+01:00,4745.8,8588.6,0.3
2020-01-01T19:30+01:00,4691.5,8767.7,0.3
2020-01-01T19:45+01:00,4650.1,9077.2,0.3
2020-01-01T20:00+01:00,4638.9,9172.1,0.2
2020-01-01T20:15+01:00,4480.7,9304.6,0.2
2020-01-01T20:30+01:00,4343.8,9631.6,0.2
2020-01-01T20:45+01:00,4170.7,9679.1,0.2
2020-01-01T21:00+01:00,4027.9,9940.5,0.2
2020-01-01T21:15+01:00,4028.3,10011.1,0.2
2020-01-01T21:30+01:00,3980.8,10043.1,0.2
2020-01-01T21:45+01:00,4067.6,9899.3,0.2
2020-01-01T22:00+01:00,3865.6,9518.3,0
2020-01-01T22:15+01:00,3713.2,9086.5,0
2020-01-01T22:30+01:00,3750.4,8713.5,0
2020-01-01T22:45+01:00,3761.8,8545.9,0
2020-01-01T23:00+01:00,3753.9,8542.1,0
2020-01-01T23:15+01:00,3796.6,8626.4,0
2020-01-01T23:30+01:00,3818.8,8468.3,0
2020-01-01T23:45+01:00,3944.6,8351.7,0
2020-01-02T00:00+01:00,4065.6,8286.7,0
2020-01-02T00:15+01:00,4273.8,8150.2,0
2020-01-02T00:30+01:00,4293.8,8062.4,0
2020-01-02T00:45+01:00,4295.9,7880,0
2020-01-02T01:00+01:00,4477.8,7518.8,0
2020-01-02T01:15+01:00,4600.7,7282.7,0
